architecture_id	total_junctions	min_rank	max_rank	avg_rank	num_strong_0.5	num_strong_1.0	num_strong_2.0
C01_H01_B188	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B189	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B190	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B191	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B192	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B193	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B194	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B195	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B196	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B197	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B198	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B199	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B200	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B201	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B202	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B203	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B204	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B205	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B206	72	0.0596	84.9405	24.62550138888889	1	4	6
